timestamp,pose_position_x,pose_position_y,pose_position_z,pose_orientation_x,pose_orientation_y,pose_orientation_z,pose_orientation_w,velocity_linear_x,velocity_linear_y,velocity_linear_z,velocity_angular_x,velocity_angular_y,velocity_angular_z
1691759735449210,0.03858052,-1.42459500,0.30362830,0.01134894,-0.00425724,-0.00006734,0.99992651,0.02358466,-0.00468320,-0.21062410,-0.01454578,-0.04918212,-0.01696335
1691759735452847,0.03865896,-1.42461729,0.30280757,0.01133542,-0.00429198,-0.00006534,0.99992651,0.02177336,-0.00598212,-0.22413023,-0.00744278,-0.01911480,0.00084848
1691759735456483,0.03880424,-1.42463267,0.30196241,0.01126861,-0.00437673,-0.00010437,0.99992692,0.03810347,-0.00440783,-0.23159693,-0.03666245,-0.04636764,-0.02215650
1691759735460119,0.03873131,-1.42460847,0.30128026,0.01126163,-0.00439270,-0.00009771,0.99992692,-0.01413496,0.00552907,-0.19208755,-0.00385381,-0.00882409,0.00354955
1691759735463756,0.03867137,-1.42460454,0.30059803,0.01125227,-0.00440937,-0.00007988,0.99992692,-0.01624284,0.00153418,-0.18804023,-0.00518876,-0.00927844,0.00967805
1691759735467392,0.03879870,-1.42465603,0.29975525,0.01118691,-0.00448048,-0.00012905,0.99992740,0.02979994,-0.01256517,-0.22733337,-0.03584090,-0.03880544,-0.02764733
1691759735471028,0.03888528,-1.42465496,0.29897967,0.01113661,-0.00456407,-0.00015372,0.99992752,0.02442145,-0.00101433,-0.21473302,-0.02761376,-0.04581799,-0.01420606
1691759735474665,0.03893207,-1.42464983,0.29822218,0.01108657,-0.00462724,-0.00017834,0.99992782,0.01404083,0.00116278,-0.20892952,-0.02746165,-0.03457865,-0.01405448
1691759735478301,0.03881057,-1.42462742,0.29768637,0.01108105,-0.00465961,-0.00016229,0.99992770,-0.02858213,0.00565455,-0.15363261,-0.00307788,-0.01790212,0.00861682
1691759735481938,0.03881202,-1.42462814,0.29697874,0.01106626,-0.00469529,-0.00015750,0.99992770,-0.00255137,0.00039872,-0.19039834,-0.00814769,-0.01964875,0.00237901
1691759735485574,0.03874438,-1.42461264,0.29628080,0.01105813,-0.00473193,-0.00014283,0.99992764,-0.01696855,0.00386879,-0.19179459,-0.00451150,-0.02024422,0.00782304
1691759735489210,0.03867974,-1.42459714,0.29558322,0.01104640,-0.00476286,-0.00013095,0.99992764,-0.01769569,0.00422211,-0.19184840,-0.00648531,-0.01708125,0.00631786
1691759735492847,0.03876453,-1.42461860,0.29475677,0.01096658,-0.00488887,-0.00017885,0.99992788,0.01913975,-0.00486988,-0.22363292,-0.04377878,-0.06899478,-0.02732018
1691759735496483,0.03865627,-1.42459595,0.29420853,0.01096964,-0.00494720,-0.00014358,0.99992758,-0.02479244,0.00509921,-0.15819959,0.00158845,-0.03229295,0.01905866
1691759735500119,0.03868387,-1.42458498,0.29344141,0.01094723,-0.00500731,-0.00012983,0.99992752,0.00429189,0.00322838,-0.20560315,-0.01236708,-0.03314326,0.00713551
1691759735503756,0.03879135,-1.42460108,0.29257894,0.01088260,-0.00511507,-0.00016784,0.99992764,0.02698204,-0.00364612,-0.23393126,-0.03544802,-0.05902346,-0.02172946
1691759735507392,0.03887126,-1.42462325,0.29178184,0.01079671,-0.00523708,-0.00020903,0.99992800,0.02248730,-0.00584850,-0.22072010,-0.04713665,-0.06685106,-0.02363217
1691759735511028,0.03881991,-1.42461944,0.29114062,0.01076716,-0.00528493,-0.00020411,0.99992806,-0.01039587,0.00034684,-0.18087217,-0.01627557,-0.02634599,0.00233460
1691759735514665,0.03874316,-1.42459118,0.29054546,0.01076358,-0.00534523,-0.00018195,0.99992776,-0.02001180,0.00701296,-0.16539189,-0.00203684,-0.03328763,0.01181948
1691759735518301,0.03867961,-1.42460918,0.28979942,0.01074476,-0.00538203,-0.00017116,0.99992776,-0.01773684,-0.00373255,-0.20113060,-0.01038567,-0.02030197,0.00565779
1691759735521938,0.03865693,-1.42460990,0.28906700,0.01072693,-0.00542066,-0.00016348,0.99992776,-0.00740515,-0.00055645,-0.20135532,-0.00983321,-0.02128355,0.00394419
1691759735525574,0.03878995,-1.42461240,0.28819031,0.01065318,-0.00551379,-0.00020199,0.99992806,0.03210406,-0.00067506,-0.23706694,-0.04045923,-0.05098863,-0.02195819
1691759735529210,0.03872748,-1.42458570,0.28755915,0.01064109,-0.00554618,-0.00018385,0.99992800,-0.01216086,0.00652754,-0.18004826,-0.00670896,-0.01792449,0.00975212
1691759735532847,0.03861599,-1.42456734,0.28696576,0.01063836,-0.00557443,-0.00016187,0.99992788,-0.02877363,0.00519822,-0.16487379,-0.00156990,-0.01566138,0.01191297
1691759735536483,0.03885172,-1.42460644,0.28602988,0.01054478,-0.00569092,-0.00022631,0.99992818,0.05530119,-0.00912955,-0.24797320,-0.05128821,-0.06368764,-0.03641577
