timestamp,thrust[0],thrust[1],thrust[2],thrust[3]
1704712224442474,0.21799999,0.26899999,0.25700000,0.24800000
1704712224452663,0.23400000,0.27599999,0.25400001,0.23100001
1704712224462593,0.23600000,0.28099999,0.25099999,0.23199999
1704712224472592,0.23500000,0.28099999,0.25099999,0.23199999
1704712224482597,0.23000000,0.28400001,0.24900000,0.24300000
1704712224492087,0.23199999,0.27900001,0.25400001,0.23999999
1704712224502732,0.24200000,0.28500000,0.25200000,0.23300000
1704712224512129,0.23199999,0.27500001,0.26100001,0.23999999
1704712224522259,0.23199999,0.27599999,0.25700000,0.23999999
1704712224532221,0.23400000,0.27000001,0.26300001,0.23800001
1704712224542248,0.23199999,0.26899999,0.26499999,0.23999999
1704712224552246,0.23600000,0.28000000,0.25099999,0.23800001
1704712224562250,0.22499999,0.27700001,0.25500000,0.24600001
1704712224572506,0.23400000,0.27399999,0.25799999,0.23700000
1704712224582298,0.23199999,0.27700001,0.25400001,0.23700000
1704712224592286,0.23000000,0.27200001,0.25799999,0.23899999
1704712224602314,0.23300000,0.27599999,0.25200000,0.23500000
1704712224612404,0.22800000,0.26899999,0.26100001,0.23899999
1704712224622385,0.23199999,0.27700001,0.25099999,0.23400000
1704712224632384,0.23400000,0.26899999,0.25900000,0.23700000
1704712224642456,0.23400000,0.27399999,0.25600001,0.23600000
1704712224652441,0.23700000,0.28099999,0.24600001,0.23400000
1704712224662947,0.23100001,0.28299999,0.24800000,0.23700000
1704712224672457,0.23800001,0.27500001,0.25600001,0.23300000
1704712224682444,0.23600000,0.28999999,0.24100000,0.23700000
1704712224692580,0.22800000,0.28400001,0.24600001,0.24699999
1704712224702613,0.22900000,0.27599999,0.25700000,0.24200000
1704712224712467,0.23100001,0.27599999,0.25700000,0.23899999
1704712224722456,0.23999999,0.28999999,0.24400000,0.23100001
1704712224732490,0.23400000,0.28299999,0.25000000,0.23800001
1704712224742454,0.23500000,0.26899999,0.26499999,0.23700000
1704712224752480,0.23000000,0.27800000,0.25400001,0.24300000
1704712224762510,0.23700000,0.28200001,0.25200000,0.23500000
1704712224772517,0.23700000,0.28000000,0.25600001,0.23500000
1704712224782637,0.23600000,0.27200001,0.25999999,0.23400000
1704712224792529,0.23500000,0.27599999,0.25700000,0.23500000
1704712224802589,0.23999999,0.28099999,0.25299999,0.23000000
1704712224812269,0.23300000,0.27500001,0.25700000,0.23400000
1704712224822741,0.22800000,0.27100000,0.25799999,0.23800001
