timestamp,roll,pitch,yaw,norm_thrust
1704712214863088,-0.01400329,-0.01833002,-0.00669352,10.70742130
1704712214868879,-0.01931378,-0.01999576,-0.00658022,10.69868660
1704712214874882,-0.01949252,-0.01747533,-0.00656372,10.70724869
1704712214882903,-0.01638264,-0.01441931,-0.00621805,10.70019054
1704712214888937,-0.01077202,-0.00760977,-0.00611251,10.70122051
1704712214894968,-0.00406595,-0.00242822,-0.00602285,10.69686699
1704712214900851,0.00097153,-0.00030012,-0.00587324,10.68042946
1704712214906981,0.00739770,0.00124295,-0.00587583,10.67179775
1704712214912955,0.00925195,-0.00142388,-0.00600531,10.65199089
1704712214918927,0.01335082,-0.00556290,-0.00617072,10.64409351
1704712214924923,0.02166038,-0.00835702,-0.00608531,10.63430309
1704712214930896,0.02470862,-0.01465734,-0.00621665,10.61110020
1704712214940902,0.03024988,-0.01272991,-0.00635789,10.58477116
1704712214942900,0.03066321,-0.01372746,-0.00647391,10.58544636
1704712214952948,0.02873418,-0.01932818,-0.00708647,10.54815578
1704712214958873,0.02591579,-0.02097810,-0.00732470,10.54086113
1704712214964899,0.02393129,-0.01770142,-0.00730579,10.53261280
1704712214970885,0.01810383,-0.01663524,-0.00716555,10.51943970
1704712214976874,0.01201242,-0.01337998,-0.00684630,10.52377701
1704712214982902,0.00694656,-0.00473391,-0.00637641,10.53015041
1704712214989086,-0.00240198,-0.00264924,-0.00599190,10.53029060
1704712214994971,-0.00809866,0.00230410,-0.00567484,10.54892731
1704712215000954,-0.01708659,0.00473627,-0.00556118,10.57590771
1704712215008882,-0.02617954,0.00588598,-0.00591875,10.60338116
1704712215015017,-0.03149536,0.00782162,-0.00635080,10.63451958
1704712215020920,-0.03501966,0.00504876,-0.00643031,10.64982986
1704712215026871,-0.03789221,-0.00054402,-0.00629401,10.68294811
1704712215033049,-0.04046816,-0.01019015,-0.00613723,10.69930458
1704712215039217,-0.04188392,-0.01162717,-0.00587469,10.72602654
1704712215044909,-0.04074219,-0.01662509,-0.00533600,10.75783157
1704712215050914,-0.03853302,-0.02314936,-0.00477493,10.77043056
1704712215056936,-0.03715139,-0.02393260,-0.00441928,10.79658985
1704712215062935,-0.03688901,-0.02779692,-0.00433375,10.82252026
1704712215073000,-0.03236342,-0.02588616,-0.00422169,10.83807278
1704712215078947,-0.02846220,-0.02766382,-0.00422963,10.85956955
1704712215084894,-0.02531900,-0.02434909,-0.00406253,10.87673855
1704712215091003,-0.02410335,-0.02450932,-0.00438047,10.87634182
1704712215096934,-0.02384091,-0.01951914,-0.00456023,10.88701057
